Title,Year,Rating,Votes,Runtime(min),Genres_x,Overview,Director_x,Actors,RT_CriticScore,RT_AudienceScore,Genres_y,Director_y,Runtime_x,RT_Link,Metascore,UserScore,Genres,Director,Runtime_y
alien,1979,8.2,15195.0,117.0,"Horror, Science Fiction","During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",Ridley Scott,"Tom Skerritt, Sigourney Weaver, Veronica Cartwright, Harry Dean Stanton, John Hurt",98.0,94.0,"sci fi, horror",Ridley Scott,1h 57m,http://www.rottentomatoes.com/m/alien,89.0,89.0,"Horror,Sci-Fi",Ridley Scott,117.0
alien,1979,8.2,15195.0,117.0,"Horror, Science Fiction","During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",Ridley Scott,"Tom Skerritt, Sigourney Weaver, Veronica Cartwright, Harry Dean Stanton, John Hurt",98.0,94.0,"sci fi, horror",Ridley Scott,1h 57m,http://www.rottentomatoes.com/m/alien,89.0,89.0,"Horror,Sci-Fi",Ridley Scott,117.0
alien,1979,8.2,15195.0,117.0,"Horror, Science Fiction","During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",Ridley Scott,"Tom Skerritt, Sigourney Weaver, Veronica Cartwright, Harry Dean Stanton, John Hurt",98.0,94.0,"sci fi, horror",Ridley Scott,1h 57m,http://www.rottentomatoes.com/m/alien,89.0,89.0,"Horror,Sci-Fi",Ridley Scott,117.0
aliens,1986,7.952,10046.0,137.0,"Action, Thriller, Science Fiction","Ripley, the sole survivor of the Nostromo's deadly encounter with the monstrous Alien, returns to Earth after drifting through space in hypersleep for 57 years. Although her story is initially met with skepticism, she agrees to accompany a team of Colonial Marines back to LV-426.",James Cameron,"Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser, Lance Henriksen",,,,,,,,,,,
all about eve,1950,8.082,1570.0,139.0,Drama,"From the moment she glimpses her idol at the stage door, Eve Harrington is determined to take the reins of power away from the great actress Margo Channing. Eve maneuvers her way into Margo's Broadway role, becomes a sensation and even causes turmoil in the lives of Margo's director boyfriend, her playwright and his wife. Only the cynical drama critic sees through Eve, admiring her audacity and perfect pattern of deceit.",Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, George Sanders, Celeste Holm, Gary Merrill",99.0,94.0,drama,Joseph L. Mankiewicz,2h 18m,http://www.rottentomatoes.com/m/1000626-all_about_eve,98.0,86.0,Drama,Joseph L. Mankiewicz,138.0
all about eve,1950,8.082,1570.0,139.0,Drama,"From the moment she glimpses her idol at the stage door, Eve Harrington is determined to take the reins of power away from the great actress Margo Channing. Eve maneuvers her way into Margo's Broadway role, becomes a sensation and even causes turmoil in the lives of Margo's director boyfriend, her playwright and his wife. Only the cynical drama critic sees through Eve, admiring her audacity and perfect pattern of deceit.",Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, George Sanders, Celeste Holm, Gary Merrill",99.0,94.0,drama,Joseph L. Mankiewicz,2h 18m,http://www.rottentomatoes.com/m/1000626-all_about_eve,98.0,86.0,Drama,Joseph L. Mankiewicz,138.0
all about my mother,1999,,,,,,,,98.0,93.0,"comedy, drama",Pedro Almodóvar,1h 39m,http://www.rottentomatoes.com/m/all_about_my_mother,,,,,
all in: the fight for democracy,2020,,,,,,,,100.0,72.0,documentary,"Lisa Cortes, Liz Garbus",1h 42m,http://www.rottentomatoes.com/m/all_in_the_fight_for_democracy,,,,,
all of us strangers,2023,,,,,,,,,,,,,,90.0,81.0,"Drama,Romance",Andrew Haigh,105.0
all quiet on the western front,1930,,,,,,,,98.0,89.0,war,Lewis Milestone,1h 45m,http://www.rottentomatoes.com/m/1000642-all_quiet_on_the_western_front,91.0,83.0,"Drama,War",Lewis Milestone,136.0
