Title,Year,RT_CriticScore,RT_AudienceScore,Genres,Director,Runtime,RT_Link
Shadow of a Doubt,1943,100,89.0,"crime, drama, mystery and thriller",Alfred Hitchcock,1h 48m,http://www.rottentomatoes.com/m/1018688-shadow_of_a_doubt
Laura,1944,100,91.0,mystery and thriller,Otto Preminger,1h 28m,http://www.rottentomatoes.com/m/1012007-laura
The Last Picture Show,1971,100,90.0,drama,Peter Bogdanovich,1h 58m,http://www.rottentomatoes.com/m/last_picture_show
The Gold Rush,1925,100,93.0,"drama, comedy, adventure",Charles Chaplin,1h 22m,http://www.rottentomatoes.com/m/the_gold_rush
The Grapes of Wrath,1940,100,88.0,drama,John Ford,2h 9m,http://www.rottentomatoes.com/m/grapes_of_wrath
Frankenstein,1931,100,87.0,horror,James Whale,1h 11m,http://www.rottentomatoes.com/m/1007818-frankenstein
Last Train Home,2009,100,87.0,documentary,Lixin Fan,1h 25m,http://www.rottentomatoes.com/m/last_train_home-2009
Grave of the Fireflies,1988,100,95.0,"drama, war, anime",Isao Takahata,1h 28m,http://www.rottentomatoes.com/m/grave_of_the_fireflies
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",1999,100,87.0,documentary,Errol Morris,1h 30m,http://www.rottentomatoes.com/m/mr_death_the_rise_and_fall_of_fred_a_leuchter_jr
Afghan Star,2009,100,77.0,documentary,Havana Marking,1h 28m,http://www.rottentomatoes.com/m/afghan_star
The Square,2013,100,90.0,documentary,Jehane Noujaim,1h 44m,http://www.rottentomatoes.com/m/the_square_2013
The Lady Eve,1941,100,87.0,romance,Preston Sturges,1h 37m,http://www.rottentomatoes.com/m/lady_eve
Sholem Aleichem: Laughing in the Darkness,2011,100,68.0,documentary,Joseph Dorman,1h 33m,http://www.rottentomatoes.com/m/sholem_aleichem_laughing_in_the_darkness_2011
We Were Here,2011,100,86.0,"history, documentary, gay and lesbian, drama, biography","David Weissman, Bill Weber",1h 30m,http://www.rottentomatoes.com/m/we_were_here_voices_from_the_aids_years_in_san_francisco
The Treasure of the Sierra Madre,1948,100,93.0,"western, adventure, drama",John Huston,2h 4m,http://www.rottentomatoes.com/m/treasure_of_the_sierra_madre
The 400 Blows,1959,100,94.0,"crime, drama",François Truffaut,1h 33m,http://www.rottentomatoes.com/m/400_blows
The Maltese Falcon,1941,100,91.0,"crime, drama",John Huston,1h 40m,http://www.rottentomatoes.com/m/1013139-maltese_falcon
Shadow of a Doubt,1943,100,89.0,"crime, drama, mystery and thriller",Alfred Hitchcock,1h 48m,http://www.rottentomatoes.com/m/1018688-shadow_of_a_doubt
Laura,1944,100,91.0,mystery and thriller,Otto Preminger,1h 28m,http://www.rottentomatoes.com/m/1012007-laura
The Adventures of Robin Hood,1938,100,89.0,"action, adventure","Michael Curtiz, William Keighley",1h 42m,http://www.rottentomatoes.com/m/1000355-adventures_of_robin_hood
The Kid,1921,100,95.0,"comedy, drama",Charlie Chaplin,1h,http://www.rottentomatoes.com/m/1052609-kid
Singin' in the Rain,1952,100,95.0,"comedy, musical","Stanley Donen, Gene Kelly",1h 42m,http://www.rottentomatoes.com/m/singin_in_the_rain
Modern Times,1936,100,95.0,comedy,Charlie Chaplin,1h 29m,http://www.rottentomatoes.com/m/modern_times
Rebecca,1940,100,92.0,mystery and thriller,Alfred Hitchcock,2h 10m,http://www.rottentomatoes.com/m/1017293-rebecca
Taxi to the Dark Side,2007,100,90.0,"crime, drama, war, documentary",Alex Gibney,1h 46m,http://www.rottentomatoes.com/m/taxi_to_the_dark_side
Sholem Aleichem: Laughing in the Darkness,2011,100,68.0,documentary,Joseph Dorman,1h 33m,http://www.rottentomatoes.com/m/sholem_aleichem_laughing_in_the_darkness_2011
Everyday Sunshine: The Story of Fishbone,2010,100,85.0,"music, documentary","Lev Anderson, Chris Metzler",1h 47m,http://www.rottentomatoes.com/m/everyday_sunshine_the_story_of_fishbone_2011
Sound City,2013,100,90.0,"music, documentary",David Grohl,1h 48m,http://www.rottentomatoes.com/m/sound_city
Nostalgia for the Light,2010,100,84.0,documentary,Patricio Guzmán,1h 30m,http://www.rottentomatoes.com/m/nostalgia_for_the_light
Afghan Star,2009,100,77.0,documentary,Havana Marking,1h 28m,http://www.rottentomatoes.com/m/afghan_star
The Taste of Others,2000,100,82.0,comedy,Agnès Jaoui,1h 52m,http://www.rottentomatoes.com/m/the_taste_of_others
M,1931,100,95.0,"drama, mystery and thriller, crime",Fritz Lang,1h 39m,http://www.rottentomatoes.com/m/1012928-m
Pinocchio,1940,100,73.0,"kids and family, animation, fantasy","Ben Sharpsteen, Hamilton Luske",1h 27m,http://www.rottentomatoes.com/m/pinocchio_1940
Poetry,2010,100,86.0,drama,Chang-dong Lee,2h 19m,http://www.rottentomatoes.com/m/poetry_2010
Still Walking,2008,100,90.0,drama,Hirokazu Koreeda,1h 54m,http://www.rottentomatoes.com/m/1216014-still_walking
Rebecca,1940,100,92.0,mystery and thriller,Alfred Hitchcock,2h 10m,http://www.rottentomatoes.com/m/1017293-rebecca
The Grapes of Wrath,1940,100,88.0,drama,John Ford,2h 9m,http://www.rottentomatoes.com/m/grapes_of_wrath
Tokyo Story,1953,100,93.0,drama,Yasujirô Ozu,2h 14m,http://www.rottentomatoes.com/m/tokyo_story
A Secret Love,2020,100,91.0,"gay and lesbian, drama, documentary",Chris Bolan,1h 23m,http://www.rottentomatoes.com/m/a_secret_love
Frankenstein,1931,100,87.0,horror,James Whale,1h 11m,http://www.rottentomatoes.com/m/1007818-frankenstein
The Lady Eve,1941,100,87.0,romance,Preston Sturges,1h 37m,http://www.rottentomatoes.com/m/lady_eve
The Philadelphia Story,1940,100,93.0,romance,George Cukor,1h 52m,http://www.rottentomatoes.com/m/philadelphia_story
Top Hat,1935,100,91.0,"romance, musical",Mark Sandrich,1h 39m,http://www.rottentomatoes.com/m/top_hat
The Adventures of Robin Hood,1938,100,89.0,"action, adventure","Michael Curtiz, William Keighley",1h 42m,http://www.rottentomatoes.com/m/1000355-adventures_of_robin_hood
The Terminator,1984,100,89.0,"mystery and thriller, sci fi, action",James Cameron,1h 48m,http://www.rottentomatoes.com/m/terminator
Waste Land,2010,100,90.0,documentary,"Lucy Walker, Karen Harley, João Jardim",1h 38m,http://www.rottentomatoes.com/m/waste-land
Tampopo,1985,100,93.0,comedy,Juzo Itami,1h 54m,http://www.rottentomatoes.com/m/tampopo
Last Train Home,2009,100,87.0,documentary,Lixin Fan,1h 25m,http://www.rottentomatoes.com/m/last_train_home-2009
Fireworks Wednesday,2006,100,84.0,drama,Asghar Farhadi,1h 44m,http://www.rottentomatoes.com/m/fireworks_wednesday
Gett: The Trial of Viviane Amsalem,2014,100,81.0,drama,"Ronit Elkabetz, Shlomi Elkabetz",1h 55m,http://www.rottentomatoes.com/m/gett_the_trial_of_viviane_amsalem
Grave of the Fireflies,1988,100,95.0,"drama, war, anime",Isao Takahata,1h 28m,http://www.rottentomatoes.com/m/grave_of_the_fireflies
Balthazar,1966,100,86.0,drama,Robert Bresson,1h 30m,http://www.rottentomatoes.com/m/balthazar
Nights of Cabiria,1957,100,94.0,drama,Federico Fellini,1h 50m,http://www.rottentomatoes.com/m/nights_of_cabiria
Open City,1945,100,92.0,drama,Roberto Rossellini,1h 45m,http://www.rottentomatoes.com/m/open_city
Three Colors: Red,1994,100,94.0,drama,Krzysztof Kieslowski,1h 39m,http://www.rottentomatoes.com/m/1058966-red
Stalker,1979,100,93.0,"sci fi, adventure",Andrei Tarkovsky,2h 43m,http://www.rottentomatoes.com/m/1043378-stalker
Stalker,1979,100,93.0,"sci fi, adventure",Andrei Tarkovsky,2h 43m,http://www.rottentomatoes.com/m/1043378-stalker
Man on Wire,2008,100,87.0,documentary,James Marsh,1h 30m,http://www.rottentomatoes.com/m/man_on_wire
Frankenstein,1931,100,87.0,horror,James Whale,1h 11m,http://www.rottentomatoes.com/m/1007818-frankenstein
The Wages of Fear,1953,100,95.0,mystery and thriller,Henri-Georges Clouzot,2h 36m,http://www.rottentomatoes.com/m/wages_of_fear
Potemkin,1925,100,86.0,"mystery and thriller, drama, history",S. M. Eisenstein,1h 7m,http://www.rottentomatoes.com/m/battleship_potemkin
Tokyo Story,1953,100,93.0,drama,Yasujirô Ozu,2h 14m,http://www.rottentomatoes.com/m/tokyo_story
The 400 Blows,1959,100,94.0,"crime, drama",François Truffaut,1h 33m,http://www.rottentomatoes.com/m/400_blows
M,1931,100,95.0,"drama, mystery and thriller, crime",Fritz Lang,1h 39m,http://www.rottentomatoes.com/m/1012928-m
The Tale of the Princess Kaguya,2013,100,90.0,"fantasy, anime",Isao Takahata,2h 17m,http://www.rottentomatoes.com/m/the_tale_of_the_princess_kaguya
Seven Samurai,1954,100,97.0,action,Akira Kurosawa,3h 28m,http://www.rottentomatoes.com/m/seven_samurai_1956
Only Yesterday,1991,100,85.0,"drama, anime",Isao Takahata,1h 58m,http://www.rottentomatoes.com/m/only_yesterday_1991
Seven Samurai,1954,100,97.0,action,Akira Kurosawa,3h 28m,http://www.rottentomatoes.com/m/seven_samurai_1956
The Adventures of Robin Hood,1938,100,89.0,"action, adventure","Michael Curtiz, William Keighley",1h 42m,http://www.rottentomatoes.com/m/1000355-adventures_of_robin_hood
M,1931,100,95.0,"drama, mystery and thriller, crime",Fritz Lang,1h 39m,http://www.rottentomatoes.com/m/1012928-m
Stalker,1979,100,93.0,"sci fi, adventure",Andrei Tarkovsky,2h 43m,http://www.rottentomatoes.com/m/1043378-stalker
Dick Johnson Is Dead,2020,100,78.0,documentary,Kirsten Johnson,1h 29m,http://www.rottentomatoes.com/m/dick_johnson_is_dead
Crip Camp,2020,100,91.0,documentary,"Jim LeBrecht, Nicole Newnham",1h 47m,http://www.rottentomatoes.com/m/crip_camp_a_disability_revolution
Rio Bravo,1959,100,91.0,western,Howard Hawks,2h 21m,http://www.rottentomatoes.com/m/rio_bravo
Stagecoach,1939,100,86.0,western,John Ford,1h 36m,http://www.rottentomatoes.com/m/1019774-stagecoach
The Treasure of the Sierra Madre,1948,100,93.0,"western, adventure, drama",John Huston,2h 4m,http://www.rottentomatoes.com/m/treasure_of_the_sierra_madre
Totally Under Control,2020,99,85.0,documentary,"Alex Gibney, Ophelia Harutyunyan, Suzanne Hillinger",2h 3m,http://www.rottentomatoes.com/m/totally_under_control
Never Rarely Sometimes Always,2020,99,48.0,drama,Eliza Hittman,1h 41m,http://www.rottentomatoes.com/m/never_rarely_sometimes_always
Goldfinger,1964,99,89.0,action,Guy Hamilton,1h 52m,http://www.rottentomatoes.com/m/goldfinger
Shoplifters,2018,99,91.0,"crime, drama, adventure",Kore-Eda Hirokazu,2h 1m,http://www.rottentomatoes.com/m/shoplifters
The Umbrellas of Cherbourg,1964,99,87.0,"romance, musical",Jacques Demy,1h 31m,http://www.rottentomatoes.com/m/the_umbrellas_of_cherbourg_1964
Amazing Grace,2018,99,80.0,"music, documentary",Alan Elliott,1h 27m,http://www.rottentomatoes.com/m/amazing_grace_2018
How to Train Your Dragon,2010,99,91.0,"comedy, fantasy, animation, kids and family, adventure","Chris Sanders, Dean DeBlois",1h 38m,http://www.rottentomatoes.com/m/how_to_train_your_dragon
My Life as a Zucchini,2016,99,89.0,"comedy, drama, animation",Claude Barras,1h 6m,http://www.rottentomatoes.com/m/my_life_as_a_zucchini
Song of the Sea,2014,99,92.0,"animation, adventure, fantasy",Tomm Moore,1h 34m,http://www.rottentomatoes.com/m/song_of_the_sea_2014
The Battle of Algiers,1966,99,95.0,"drama, history, war",Gillo Pontecorvo,2h 5m,http://www.rottentomatoes.com/m/the_battle_of_algiers
Shoplifters,2018,99,91.0,"crime, drama, adventure",Kore-Eda Hirokazu,2h 1m,http://www.rottentomatoes.com/m/shoplifters
Song of the Sea,2014,99,92.0,"animation, adventure, fantasy",Tomm Moore,1h 34m,http://www.rottentomatoes.com/m/song_of_the_sea_2014
The Battle of Algiers,1966,99,95.0,"drama, history, war",Gillo Pontecorvo,2h 5m,http://www.rottentomatoes.com/m/the_battle_of_algiers
Knock Down the House,2019,99,10.0,documentary,Rachel Lears,1h 26m,http://www.rottentomatoes.com/m/knock_down_the_house
Jiro Dreams of Sushi,2011,99,91.0,documentary,David Gelb,1h 21m,http://www.rottentomatoes.com/m/jiro_dreams_of_sushi
The Missing Picture,2013,99,76.0,documentary,Rithy Panh,1h 30m,http://www.rottentomatoes.com/m/the_missing_picture
Chinatown,1974,99,93.0,"crime, drama",Roman Polanski,2h 11m,http://www.rottentomatoes.com/m/chinatown
